Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778707947,200,,Aggregated,32.400000,0.000000,15,110,1900,5400,8600,11000,13000,15000,19000,21000,21000,4076,0,15,2102.1934077679152,1.6689170006429777,21145.788750000065,267.23552502453384
1778707948,200,,Aggregated,32.600000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,21000,21000,4114,0,15,2110.033396932677,1.6689170006429777,21145.788750000065,267.1577540106952
1778707949,200,,Aggregated,32.100000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4147,0,15,2113.7551774029525,1.6689170006429777,21728.80512499978,267.20062695924764
1778707950,200,,Aggregated,32.400000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4165,0,15,2114.5527864204178,1.6689170006429777,21728.80512499978,267.45210084033613
1778707951,200,,Aggregated,32.500000,0.000000,15,110,2000,5500,8600,11000,13000,15000,19000,22000,22000,4189,0,15,2110.540539037011,1.6689170006429777,21728.80512499978,267.6464550011936
1778707952,200,,Aggregated,31.900000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4220,0,15,2109.6023819272605,1.6689170006429777,21728.80512499978,267.86563981042656
1778707953,200,,Aggregated,30.400000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4244,0,15,2106.9321567964284,1.6689170006429777,21728.80512499978,267.9703110273327
1778707954,200,,Aggregated,28.900000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4269,0,15,2112.237498475062,1.6689170006429777,21728.80512499978,268.1522604825486
1778707955,200,,Aggregated,29.400000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4317,0,15,2110.804744487154,1.6689170006429777,21728.80512499978,268.2087097521427
1778707956,200,,Aggregated,27.600000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4333,0,15,2120.1951106697525,1.6689170006429777,21728.80512499978,267.8986845141934
1778707957,200,,Aggregated,28.000000,0.000000,15,110,2100,5500,8600,11000,13000,15000,19000,22000,22000,4366,0,15,2121.8568028018863,1.6689170006429777,21728.80512499978,268.08657810352724
1778707958,200,,Aggregated,29.000000,0.000000,15,110,2300,5500,8600,11000,13000,15000,19000,22000,22000,4391,0,15,2124.7235170977065,1.6689170006429777,21728.80512499978,268.14097016624913
1778707959,200,,Aggregated,28.300000,0.000000,16,110,2400,5500,8600,11000,13000,15000,19000,22000,22000,4429,0,16,2124.6672486814236,1.6689170006429777,21728.80512499978,268.0453827048995
1778707960,200,,Aggregated,28.600000,0.000000,16,110,2300,5500,8600,11000,13000,15000,19000,22000,22000,4467,0,16,2118.961269641822,1.6689170006429777,21728.80512499978,267.7799417953884
1778707961,200,,Aggregated,27.500000,0.000000,16,110,2300,5500,8600,11000,13000,15000,19000,22000,22000,4490,0,16,2122.589398346106,1.6689170006429777,21728.80512499978,268.13763919821827
1778707962,200,,Aggregated,28.500000,0.000000,16,110,2300,5500,8600,11000,13000,15000,19000,22000,22000,4524,0,16,2125.8208309823203,1.6689170006429777,21728.80512499978,268.1602564102564
